"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri Dec 20 08:01:44 GMT 2024","Fri Dec 20 08:01:45 GMT 2024","430","test","test_login_page","TestLoginPage","","","Check error message for invalid data",""
"passed","Fri Dec 20 08:01:51 GMT 2024","Fri Dec 20 08:01:52 GMT 2024","1057","test","test_overview_page","TestOverviewPage","","","Check all price of  overview page",""
"passed","Fri Dec 20 08:01:48 GMT 2024","Fri Dec 20 08:01:49 GMT 2024","688","test","test_main_page","TestMainPage","","","Test main page checking for filter",""
"failed","Fri Dec 20 08:01:41 GMT 2024","Fri Dec 20 08:01:42 GMT 2024","904","test","test_finish_page","TestFinishPage","","","end to end path for business proces",""
"passed","Fri Dec 20 08:01:45 GMT 2024","Fri Dec 20 08:01:46 GMT 2024","718","test","test_main_page","TestMainPage","","","Test main page checking for filter",""
"failed","Fri Dec 20 08:01:39 GMT 2024","Fri Dec 20 08:01:40 GMT 2024","883","test","test_checkout_page","TestCheckoutPage","","","Check checkout page and back home page",""
"passed","Fri Dec 20 08:01:37 GMT 2024","Fri Dec 20 08:01:38 GMT 2024","845","test","test_cart_page","TestCartPage","","","Remove items in cart",""
"passed","Fri Dec 20 08:01:43 GMT 2024","Fri Dec 20 08:01:44 GMT 2024","556","test","test_login_page","TestLoginPage","","","Check error message in login page",""
"passed","Fri Dec 20 08:01:43 GMT 2024","Fri Dec 20 08:01:43 GMT 2024","487","test","test_login_page","TestLoginPage","","","Login user",""
"passed","Fri Dec 20 08:01:46 GMT 2024","Fri Dec 20 08:01:47 GMT 2024","710","test","test_main_page","TestMainPage","","","Test main page checking for filter",""
"failed","Fri Dec 20 08:01:40 GMT 2024","Fri Dec 20 08:01:41 GMT 2024","884","test","test_checkout_page","TestCheckoutPage","","","Check fields checkout page and fill data",""
"passed","Fri Dec 20 08:01:35 GMT 2024","Fri Dec 20 08:01:37 GMT 2024","1631","test","test_cart_page","TestCartPage","","","Check all product in your cart",""
"passed","Fri Dec 20 08:01:47 GMT 2024","Fri Dec 20 08:01:48 GMT 2024","701","test","test_main_page","TestMainPage","","","Test main page checking for filter",""
"passed","Fri Dec 20 08:01:49 GMT 2024","Fri Dec 20 08:01:50 GMT 2024","889","test","test_main_page","TestMainPage","","","Test checking random items in cart",""
"passed","Fri Dec 20 08:01:39 GMT 2024","Fri Dec 20 08:01:39 GMT 2024","0","test","test_cart_page","TestCartPage","","","test_",""
