"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Mar 18 13:40:37 GMT 2024","Mon Mar 18 13:40:37 GMT 2024","664","test","test_main_page","TestMainPage","","","Test main page checking for filter",""
"passed","Mon Mar 18 13:40:30 GMT 2024","Mon Mar 18 13:40:31 GMT 2024","825","test","test_checkout_page","TestCheckoutPage","","","Check fields checkout page and fill data",""
"passed","Mon Mar 18 13:40:36 GMT 2024","Mon Mar 18 13:40:36 GMT 2024","667","test","test_main_page","TestMainPage","","","Test main page checking for filter",""
"passed","Mon Mar 18 13:40:34 GMT 2024","Mon Mar 18 13:40:35 GMT 2024","400","test","test_login_page","TestLoginPage","","","Check error message for invalid data",""
"passed","Mon Mar 18 13:40:29 GMT 2024","Mon Mar 18 13:40:30 GMT 2024","744","test","test_checkout_page","TestCheckoutPage","","","Check checkout page and back home page",""
"passed","Mon Mar 18 13:40:26 GMT 2024","Mon Mar 18 13:40:28 GMT 2024","2264","test","test_cart_page","TestCartPage","","","Check all product in your cart",""
"passed","Mon Mar 18 13:40:31 GMT 2024","Mon Mar 18 13:40:32 GMT 2024","1118","test","test_finish_page","TestFinishPage","","","end to end path for business proces",""
"passed","Mon Mar 18 13:40:39 GMT 2024","Mon Mar 18 13:40:40 GMT 2024","890","test","test_overview_page","TestOverviewPage","","","Check all price of  overview page",""
"passed","Mon Mar 18 13:40:33 GMT 2024","Mon Mar 18 13:40:33 GMT 2024","466","test","test_login_page","TestLoginPage","","","Login user",""
"passed","Mon Mar 18 13:40:38 GMT 2024","Mon Mar 18 13:40:39 GMT 2024","721","test","test_main_page","TestMainPage","","","Test checking random items in cart",""
"passed","Mon Mar 18 13:40:28 GMT 2024","Mon Mar 18 13:40:29 GMT 2024","714","test","test_cart_page","TestCartPage","","","Remove items in cart",""
"passed","Mon Mar 18 13:40:35 GMT 2024","Mon Mar 18 13:40:36 GMT 2024","662","test","test_main_page","TestMainPage","","","Test main page checking for filter",""
"passed","Mon Mar 18 13:40:38 GMT 2024","Mon Mar 18 13:40:38 GMT 2024","617","test","test_main_page","TestMainPage","","","Test main page checking for filter",""
"passed","Mon Mar 18 13:40:33 GMT 2024","Mon Mar 18 13:40:34 GMT 2024","520","test","test_login_page","TestLoginPage","","","Check error message in login page",""
